OBJECTID,UR2022_V1_00,UR2022_V1_00_NAME,UR2022_V1_00_NAME_ASCII,IUR2022_V1_00,IUR2022_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
488,2093,Cust,Cust,21,Rural settlement,2.78155342,2.78155342,12979.79326,2782059.749
489,2094,Ashley,Ashley,21,Rural settlement,4.66007299,4.66007299,11298.96644,4660064.297
490,2095,Sefton,Sefton,21,Rural settlement,0.87479414,0.87479414,4427.221841,874298.5315
491,2096,Rangiora,Rangiora,13,Medium urban area,15.25162001,15.25162001,25675.18011,15252383.3
492,2097,Waikuku,Waikuku,21,Rural settlement,1.59735645,1.59735645,5104.007151,1597938.441
493,2098,Waikuku Beach,Waikuku Beach,21,Rural settlement,1.29869457,1.29869457,6160.268169,1298612.554
494,2099,Woodend,Woodend,14,Small urban area,3.48672389,3.48672389,9105.268941,3486056.676
495,2100,Pegasus,Pegasus,14,Small urban area,6.33679729,6.33679729,11458.87566,6336967.846
496,2101,Woodend Beach,Woodend Beach,21,Rural settlement,2.62412987,2.62412987,7093.067185,2624517.022
497,2102,Kaiapoi,Kaiapoi,13,Medium urban area,14.35163041,14.35163041,20502.54299,14351404.46
498,2103,The Pines Beach,The Pines Beach,21,Rural settlement,0.59641809,0.59641809,3934.575422,596351.6537
499,2105,Spencerville,Spencerville,21,Rural settlement,0.33615724,0.33615724,3438.507963,335899.9361
500,2106,Christchurch,Christchurch,11,Major urban area,294.7322281,294.7322281,143756.2298,294732795.9
501,2107,Governors Bay,Governors Bay,21,Rural settlement,3.23753349,3.23753349,14801.676,3237767.872
502,2108,Lyttelton,Lyttelton,14,Small urban area,4.45490505,4.45490505,23002.98271,4454898.393
503,2109,Diamond Harbour,Diamond Harbour,14,Small urban area,4.06522169,4.06522169,15081.66261,4065190.757
504,2110,Pūrau,Purau,21,Rural settlement,0.21231506,0.21231506,3310.249054,212294.6465
505,2111,Inland water Christchurch City,Inland water Christchurch City,31,Inland water,0,69.55976536,94640.23517,69560342.7
506,2112,Other rural Christchurch City,Other rural Christchurch City,22,Rural other,1095.377219,1095.377219,625056.898,1095378332
507,2114,Birdlings Flat,Birdlings Flat,21,Rural settlement,0.4392349,0.4392349,5330.068571,439522.2389
508,2115,Little River,Little River,21,Rural settlement,2.63824483,2.63824483,10483.23249,2638497.61
509,2116,Duvauchelle,Duvauchelle,21,Rural settlement,1.64735329,1.64735329,11696.94969,1647345.276
510,2117,Takamatua,Takamatua,21,Rural settlement,6.29902473,6.29902473,17690.42302,6298842.032
511,2118,Akaroa,Akaroa,21,Rural settlement,2.02993521,2.02993521,11499.90083,2029934.24
512,2119,Arthurs Pass,Arthurs Pass,21,Rural settlement,0.27251039,0.27251039,4905.941014,272565.1656
513,2120,Castle Hill,Castle Hill,21,Rural settlement,0.61429621,0.61429621,4427.741526,614349.0007
514,2121,Other rural Selwyn District,Other rural Selwyn District,22,Rural other,6302.244963,6302.244963,795668.0798,6302244654
